Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2020-06-29,227.85,224.967912,229.82,221.19
ETH,2020-06-30,225.636164,227.915438,228.61,222.988256
ETH,2020-07-01,231.03,225.636381,232.74,224.18
ETH,2020-07-02,226.46926,231.03,232.058129,223.02
ETH,2020-07-03,225.110994,226.469257,228.15,224.41
ETH,2020-07-04,229.2,225.110993,230.65283,224.57
ETH,2020-07-05,227.96,229.2,229.89,223.58
ETH,2020-07-06,241.665481,227.96,241.97,227.190862
ETH,2020-07-07,239.16,241.665486,243.7,234.61
ETH,2020-07-08,247.041666,239.16,248.887227,237.96
ETH,2020-07-09,242.010935,247.041704,247.531174,238.04
ETH,2020-07-10,241.130364,242.015051,242.05081,235.749172
ETH,2020-07-11,239.18,241.130322,241.52,237.75598
ETH,2020-07-12,242.86095,239.17,243.83,236.8
ETH,2020-07-13,239.49,242.86095,245.152749,237.360398
ETH,2020-07-14,240.391899,239.49,241.997085,236.91
ETH,2020-07-15,238.361216,240.391894,241.287064,236.642042
ETH,2020-07-16,233.553429,238.361226,239.1,229.83
ETH,2020-07-17,232.756852,233.550175,234.42874,231.6
ETH,2020-07-18,235.814088,232.756857,236.92,232.348383
ETH,2020-07-19,239.212277,235.813941,239.83,233.41
ETH,2020-07-20,236.162502,239.210491,239.8,234.281343
ETH,2020-07-21,245.74,236.162503,246.902332,235.77
ETH,2020-07-22,264.25,245.74,269.31,241.918942
ETH,2020-07-23,275.59982,264.28,280.62,260.4
ETH,2020-07-24,279.645847,275.59981,287.619922,268.57
ETH,2020-07-25,305.657005,279.652943,309.352365,279.62
ETH,2020-07-26,311.47,305.658329,319.82326,300.48
ETH,2020-07-27,322.24,311.47,333.896634,311.432818
ETH,2020-07-28,317.455497,322.24,327.23,306.53
ETH,2020-07-29,318.200639,317.455352,325.27,313.31
ETH,2020-07-30,335.099569,318.20067,342.21,314.68
ETH,2020-07-31,346.682965,335.099568,349.69,329.01
ETH,2020-08-01,387.681273,346.682962,393.74,343.954131
ETH,2020-08-02,371.844046,387.681384,415.031063,330.04
ETH,2020-08-03,386.3,371.84404,398.1,367
ETH,2020-08-04,389.75,386.3,403,381.16
ETH,2020-08-05,401.21,389.75,407.733657,384.42
ETH,2020-08-06,395.145446,401.21,403.74,391.249651
ETH,2020-08-07,379.77,395.145611,398.41,363.97
ETH,2020-08-08,397.4,379.77,397.4,376.638806
ETH,2020-08-09,390.403796,397.4,400.35,384.428058
ETH,2020-08-10,395.812094,390.403796,399.982802,385.97
ETH,2020-08-11,378.911409,395.817321,398.3,367.039806
ETH,2020-08-12,387.198895,378.918798,389.459541,365.979965
ETH,2020-08-13,424.87,387.198899,431.525618,377.04
ETH,2020-08-14,438.62,424.87,444.340503,418.2
ETH,2020-08-15,432.78,438.62,443,428.01
ETH,2020-08-16,433.831946,432.78,436.92,413.07
ETH,2020-08-17,430.99949,433.830263,446.921871,420.674466
ETH,2020-08-18,422.447417,430.999842,434,414.91964
ETH,2020-08-19,407.43,422.447384,426.544755,394.08
ETH,2020-08-20,416.29,407.43,419.26963,402.55
ETH,2020-08-21,387.62453,416.29,418.858552,385.2
ETH,2020-08-22,395.86173,387.624498,396.780796,379.716472
ETH,2020-08-23,390.82454,395.86173,397.09,383.909879
ETH,2020-08-24,408.238452,390.824453,410.37,387.95
ETH,2020-08-25,383.31073,408.232588,409.01,370.05
ETH,2020-08-26,385.916267,383.296992,393.31,377.75
ETH,2020-08-27,383.11,385.916327,396.85,371.7
ETH,2020-08-28,395.42,383.11,398.15,380.048295
ETH,2020-08-29,398.582503,395.42,405.63,392.668314
ETH,2020-08-30,428.956846,398.582437,429.5,398.507572
ETH,2020-08-31,434.108508,428.956796,438.98,418.31
ETH,2020-09-01,475.86,434.108508,488.57987,429.74
ETH,2020-09-02,439.92,475.86,480.99,421.77
ETH,2020-09-03,382.508435,440.004199,450.733449,373.18
ETH,2020-09-04,385.94,382.509488,400.46,360.423842
ETH,2020-09-05,334.93695,385.94,394.444572,310.93394
ETH,2020-09-06,352.550225,334.936951,359.913927,316.72
ETH,2020-09-07,353.39,352.546833,358.270312,323.47
ETH,2020-09-08,337.25,353.39,356.4,325.64
ETH,2020-09-09,351.134515,337.25,359.018203,331.08
ETH,2020-09-10,367.929712,351.137046,377.44,350.699801
ETH,2020-09-11,373.92483,367.929841,375.15,355.87
ETH,2020-09-12,387.81464,373.91647,388,365.326273
ETH,2020-09-13,366.41,387.814666,389.98,353.86
ETH,2020-09-14,377.14,366.41,384.275847,356.19
ETH,2020-09-15,364.124885,377.14,382.35,362.627486
ETH,2020-09-16,365.030089,364.124902,373.37,355.21
ETH,2020-09-17,389.392518,365.029732,394.09276,363.44
ETH,2020-09-18,384.503876,389.39253,392.403105,375.832026
ETH,2020-09-19,385.227864,384.509584,388.27,377.4
ETH,2020-09-20,370.762762,385.227864,385.227864,365.13
ETH,2020-09-21,340.167811,370.782143,376.42,331.13
ETH,2020-09-22,344.119591,340.120337,346.427457,335.82
ETH,2020-09-23,320.12,344.119695,344.47,313.73
ETH,2020-09-24,348.987278,320.12,353.14,317
ETH,2020-09-25,351.677235,348.998038,357.96,337.89
ETH,2020-09-26,354.09527,351.677299,356.14,346.31
ETH,2020-09-27,357.387367,354.094998,362,347.51
ETH,2020-09-28,353.898275,357.387372,368.04,352.06
ETH,2020-09-29,359.78,353.89829,360.366404,350.45294
ETH,2020-09-30,359.69,359.78,361.23,351.5
ETH,2020-10-01,352.95,359.69,369.619074,345.67
ETH,2020-10-02,345.689706,352.923192,353.95,334.6
ETH,2020-10-03,346.17,345.690047,351.03,344.03
ETH,2020-10-04,352.47,346.17,354.13,344.19
ETH,2020-10-05,353.659894,352.48,355.91,348.83
ETH,2020-10-06,340.64,353.659813,355.07,336.9
ETH,2020-10-07,341.753096,340.64,342.73,333.3
ETH,2020-10-08,351.05,341.749964,353.33,334.3
ETH,2020-10-09,365.560492,351.05,368.413126,347.747302
ETH,2020-10-10,370.861127,365.560298,378.3,365.383215
ETH,2020-10-11,374.470472,370.854264,377.25,369.4
ETH,2020-10-12,386.80744,374.470461,395.080321,365.77
ETH,2020-10-13,381.37,386.807439,387.66,374.84
ETH,2020-10-14,379.265079,381.37,387.59,373.58
ETH,2020-10-15,377.79,379.265137,381.85,370.3
ETH,2020-10-16,365.555496,377.79,379.84,361.67
ETH,2020-10-17,368.50092,365.555475,370.39,363.7
ETH,2020-10-18,378.4,368.500986,378.47,367.754406
ETH,2020-10-19,379.423576,378.4,384.550244,373.11
ETH,2020-10-20,368.806953,379.4236,380.73,365.67
ETH,2020-10-21,391.59,368.806906,401.96,368.221948
ETH,2020-10-22,414.610432,391.59,421.3,391.59
ETH,2020-10-23,409.623832,414.610432,419.35,402.028227
ETH,2020-10-24,412.550303,409.62369,416.8935,407.916195
ETH,2020-10-25,406.28,412.548044,417.82,403.35
ETH,2020-10-26,393.48,406.28,411.341192,382.8
ETH,2020-10-27,403.91,393.48,410.48,390.54
ETH,2020-10-28,388.63,403.91,409.254012,381.078683
ETH,2020-10-29,387.38,388.63,394,380.97
ETH,2020-10-30,382.83,387.34,392.011341,373.98
ETH,2020-10-31,386.884038,382.83,393.76,380.96
ETH,2020-11-01,396.786256,386.872523,397.3,385.226395
ETH,2020-11-02,383.760728,396.786206,404.49,378.754331
ETH,2020-11-03,388.194363,383.760762,390.34,370.84497
ETH,2020-11-04,402.792662,388.194379,408.59,377.36
ETH,2020-11-05,417.115324,402.803755,420.944792,397.05
ETH,2020-11-06,456.453323,417.118892,458.547398,415.86
ETH,2020-11-07,435.744053,456.453204,468.83,425.41
ETH,2020-11-08,454.75368,435.74405,460.45,432.96
ETH,2020-11-09,444.579768,454.753689,459.34,434.64
ETH,2020-11-10,450.86877,444.579754,455,439.36
ETH,2020-11-11,464.00582,450.859234,476.649483,450.255163
ETH,2020-11-12,462.909532,464.005798,470.175924,452.7
ETH,2020-11-13,477.18,462.909471,478.213191,458.08
ETH,2020-11-14,461.98,477.18,477.807308,452.48
ETH,2020-11-15,448.559458,461.39,463.14,440.588635
ETH,2020-11-16,460.736646,448.55947,465.98,446.07
ETH,2020-11-17,482.78,460.736621,484.925642,460.4
ETH,2020-11-18,479.11,482.76876,495.4,458.560426
ETH,2020-11-19,471.9,479.11,480.87,465.41
ETH,2020-11-20,510.35,471.89,514.53,471.5
ETH,2020-11-21,552.756848,510.35,553.5,503.28
ETH,2020-11-22,561.119933,552.748525,581.57,512
ETH,2020-11-23,609.45,561.120439,611.29,551.11
ETH,2020-11-24,605.291722,609.35,623.22,590.153786
ETH,2020-11-25,569.64,605.287994,606.4,554.949244
